movie_code,movie_title_kr,movie_title_eng,movie_genre,movie_nation,movie_directior,movie_img_url,movie_story,movie_actor1,movie_actor2,movie_actor3,,,
19780066,사운드 오브 뮤직,The Sound Of Music,"드라마,뮤지컬",미국,로버트 와이즈,http://cfile189.uf.daum.net/C110x160/136F1B10AC3E0EA2ED728F,"말괄량이 수녀 지망생 마리아(줄리 앤드류스)는 수도원장의 추천으로 명문 트랩가의 가정교사로 들어간다. 해군대령인 트랩(크리스토퍼 플러머)은 2남 5녀인 아이들을 군대식으로 길들여 놓았다. 이런 집안에 들어간 마리아는 트랩 대령의 교육 방법에 반기를 들고 아이들을 바꾸어 놓는다. 아이들도 처음에는 다른 가정교사에게 그랬던 것처럼 마리아를 골탕먹이기도 하지만, 결국은 마리아와 잘 지내게 된다. 어느 날 대령이 후처가 될 슈레더 남작 부인을 맞이하러 빈으로 떠나게 되자 마리아는 아이들과 더욱 친해져 커튼을 뜯어 아이들의 옷을 만들어 입힌 후 소풍을 가서 아이들과 함께 자연 속에서 노래한다. 남작 부인의 환영 파티날 밤, 마리아는 자신의 마음 속에 대령이 들어가 있음을 알게 되고, 대령도 그런 느낌을 받는다. 마리아는 사랑이 깊어지기 전에 수도원으로 다시 돌아가는데, 아이들이 마리아를 데리러 온다. 결국 마리아는 아이들 곁으로 돌아가고, 마리아는 트랩가의 안주인이 된다. 트랩 대령의 첫째 딸은 나치의 광신도가 된 프리드리히와 사랑에 빠지는데, 대령은 아이들을 데리고 망명을 꿈꾼다. 대령과 마리아와 아이들은 음악 대회에 나가 청중들의 마음을 사로잡고, 우승이 발표되어 호명되지만 이들은 이미 자유를 찾아 스위스로 가기 위해 알프스를 넘는다.",줄리 앤드류스,크리스토퍼 플러머,,,,
19820019,스타 트렉: 더 비기닝,Star Trek,"SF,액션,어드벤처",미국,J.J. 에이브럼스, http://cfile89.uf.daum.net/C110x160/17152E1449DB9E6F039C61,"인류의 미래를 건 지상 최대의 롤러코스터!
운명을 건 거대한 도전이 시작된다!
우주를 항해하던 거대 함선 USS 엔터프라이즈호 앞에 정체불명의 함선이 나타나 엔터프라이즈호를 공격하고, 이 과정에서 엔터프라이즈호는 함장을 잃게 된다. 목숨을 잃은 함장을 대신해 엔터프라이즈호를 이끌게 된 ‘커크’는 자신의 목숨을 희생해 800명의 선원들을 구해낸다. 

엔터프라이즈호에 비극이 닥친 긴박한 혼돈의 그날 태어난 ‘커크’의 아들 ‘제임스 커크’. 지도자의 운명을 안고 태어났으나, 자신의 갈 길을 깨닫지 못한 채 방황하던 젊은 청년 ‘커크’는 우연한 기회로 엔터프라이즈호의 대원으로 입대하여 아버지를 잃었던 함선에 승선하게 된다. 

아버지가 그랬던 것처럼 함선을 이끄는 함장이 되기 위해 엔터프라이즈호에서 우주 항해를 위한 훈련을 받기 시작하는 ‘커크’. 그는 거기서 자신과는 정반대로 냉철하고 이성적인 불칸족 ‘스팍’을 만나게 되고, 끊임없는 부딪힘 속에서 두 라이벌 ‘커크’와 ‘스팍’은 선의의 경쟁을 계속하게 된다. 패기 넘치는 첫 출격 이후 시행착오를 거듭하며 정식 대원의 자질을 갖춰가던 ‘커크’와 엔터프라이즈호의 대원들. 

그러던 어느 날 불칸족의 행성과 엔터프라이즈호를 위협하는 파괴자의 존재가 감지되고, 복수를 위해 찾아온 ‘네로’ 일당과 맞닥뜨린 이들은 인류의 미래를 위해 피할 수 없는 도전을 시작하게 되는데...",크리스 파인,재커리 퀸토,조 샐다나,,,
19820038,여자의 함정,A Woman'S Trap,"드라마,멜로/로맨스",한국,이경태,http://cfile189.uf.daum.net/C110x160/1156202A4AD34B55042B08,"지환은 화가인 아내의 그림 모델인 수현을 사랑하게 된다. 수현은 경화와의 우정과 지환에 대한 사랑 사이에서 갈등하다 지환을 떠난다. 하지만 수현은 혼자 지환의 아들 현이를 낳고, 세월이 흘러 어느덧 현이는 학교에 입학할 나이가 된다. 수현은 병을 얻어 아들의 미래를 걱정하게 되고 현이를 지환에게 맡긴다는 의사를 밝힌다. 수현은 회한의 눈물을 흘리며 쓸쓸히 눈을 감는다. (임재원)",정윤희,윤일봉,김진애,,,
19828018,빈센트,Vincent,드라마,미국,팀 버튼,http://cfile189.uf.daum.net/C110x160/146F1B10AE50DFFCB8D3D5,빈센트 말로이는 자신이 빈센트 프라이스가 된 듯한 환상에 빠진다. 그리고 그의 어머니를 괴롭히는 무시무시한 백일몽 안에서 길을 잃는다.,빈센트 프라이스,,,,,
19830052,안개는 여자처럼 속삭인다,Mist Whispers Like Women,"공포(호러),드라마,미스터리,스릴러",한국,정지영,http://cfile89.uf.daum.net/C110x160/1163640D4A55724F70A9A3,성민은 정부인 도희와 짜고 아내를 살해한다. 그러나 매일 한 가지씩 아내가 살아있는 듯한 흔적들이 발견되고 두 사람은 공포에 떤다. 죄의식에 사로잡혀 심약해진 성민은 아내의 환영을 피하려다 연못에 빠져 죽는다. 어느 날 도희마저 죽게 된다. 하형사는 이 사건을 추적하기 시작하고 범인을 밝혀낸다. 성민의 흉계를 눈치챈 혜련이 성민의 아내를 대신해 두 사람을 죽인 것이었다. (임재원),신일룡,오수미,윤영실,,,
19840091,터미네이터,Terminator,"SF,액션","미국,영국",제임스 카메론,http://cfile89.uf.daum.net/C110x160/126F1B10ABCE8E399545C4,"1997년, 인간이 만든 인공지능 컴퓨터 전략 방어 네트워크가 스스로의 지능을 갖추고는 인류를 핵전쟁의 참화을 일으켜 30억이라는 인류를 잿더미 속에 묻어버린다. 그리고 남은 인간들은 기계의 지배를 받아 시체를 처리하는 일 등에 동원된다. 이때 비상한 지휘력과 작전으로 인간들을 이끌던 사령관 존 코너는 반기계 연합을 구성, 기계와의 전쟁을 시작하면서 상황은 반전된다. 이에 기계는 존 코너의 탄생 자체를 막기위해, 2029년의 어느 날, 타임머신에 터미네이터(The Terminator: 아놀드 슈왈츠네거 분)를 태워서 1984년의 L.A. 로 보내게 된다. 이 터미네이터는 총으로는 끄떡도 않는 신형 모델 101로서 인간과 똑같이 만든 유기적인 침투용 사이보그였다. 이 정보를 입수한 존 역시 카일 리스(Kyle Reese: 마이클 빈 분)라는 젊은 용사를 보내 그녀를 보호하게 한다. 직장인 식당에서 일을 하던 사라 코너(Sarah Connor: 린다 헤밀턴 분)는 터미네이터에게 쫓기기 시작한다. 리스와 쫓기던 사라는 모든 상황을 설명 받는다. 미래에 자신이 낳은 아이가 핵전쟁 생존자인 인간을 지배하게 되는 것을 두려워한 나머지 터미네이터가 그녀를 죽이려 한다는 것이다. 리스와 터미네이터의 아슬아슬한 결투로 기계조직이 노출될 때까지 터미네이터는 집요하고 끈질기게 추적해온다. 리스와 사라는 함께 도망을 다니면서 사랑에 빠지고...",아놀드 슈왈제네거,마이클 빈,린다 해밀턴,,,
19860132,에이리언 2,Aliens,"SF,액션","미국,영국",제임스 카메론,http://cfile89.uf.daum.net/C110x160/1140FB10AB910705199FA6,"천신만고 끝에 캡슐에 잠들어 있던 전편의 유일한 생존자 리플리는 57년간 우주공간을 떠돌다 우주구조선으로 흘러들어 극적으로 구출된다. 에이리언에 대한 악몽으로 시달리는 리플리는 회사로부터 당시 로스트로모호가 착륙한 미정체 혹성 LV-426(아체론)과 화물선을 폭발한 것에 대해 추궁당한다. 원시 생물의 존재를 부정하는 생물 학자들은 인간의 몸 속에서 잉태되어 태어나는 염산 혈액을 가진 에이리언 이야기를 아무도 믿지 않는다. 더구나 20년 전부터 혹성에 우주 기술자와 가족을 보내 대기처리 장치의 개발을 시작하고 있었다. 그런데, 혹성과 연락이 두절되자, 리플리는 고문의 자격으로 우주 해병대와 함께 동행해 달라는 부탁을 받게 된다. 이윽고 혹성의 대기권에 도착, 우주선으로부터 셔틀선을 타고 혹성으로 내려와 특수장갑차 APC를 타고 건물 수색을 하게 된다. 이윽고 들이닥치는 에이리언 무리와 대결을 벌이게 되나 자만심에 차 있던 대원들은 하나 둘씩 처참히 죽어간다. 그러다 실험실에서 이주민의 마지막 생존자인 뉴트라는 12살 가량의 여자 아이를 발견하게 되는데...",시고니 위버,캐리 헨,마이클 빈,,,
19870028,거리의 악사,A street musician,로맨스/멜로,한국,정지영,http://cfile189.uf.daum.net/C110x160/136B8B10B19B72FD88BBE7,"고교 졸업 후, 서울에 있는 대학에 합격하여 상경한 재희(이혜영 분)와, 지방 소도시의 회사에 취직한 서하(이미숙 분)는 여고 동창생이다. 서하는 회사 사장 아들인 윤수(정동환 분)와 만나 사랑하게 되나, 윤수는 열차 안에서의 만남이 인연이 된 재희와 약혼한 후 미국으로 유학간다. 윤수와의 사랑을 잊고 지방의 약대에 진학한 서하 앞에 두 번째로 정태(이덕화 분)가 나타나나, 군에 입대한 후, 월남전에 차출되었음을 알리는데... 졸업 후, 서하는 윤수의 도움으로 큰 제약 회사에 일자리를 얻게 된다. 재희와의 파탄 후, 집요하게 그녀를 원하는 윤수에게 마지막을 선언하던 만남에서 서하는 교통사고를 당한다. 월남에서 돌아온 정태와 결혼한 서하는 결국 암으로 아들 영진(김경락 분)을 남기고 죽는데...",이덕화,이혜영,김경락,,,
19878224,고무인간의 최후,Bad Taste,"공포(호러),코미디,SF",뉴질랜드,피터 잭슨,http://cfile189.uf.daum.net/C110x160/11492610B0532F5A308485,"외계인의 침입으로 폐허가 된 카이호로 마을. 죽음의 그림자가 뒤덮인 그곳에 여섯 명의 인간이 도착한다. 지구인의 모습을 하고 있는 외계인들은 흐물거리는 몸짓으로 인간에게 다가와 인간들을 사정없이 먹어치우고 있다. 여섯 명의 인간들은 외계인의 씨를 말리기 위해 생사를 무릅쓴다. 수십 발의 총알과 머리를 두 조각 내는 도끼, 30cm가 넘는 징, 나무톱. 상상할 수조차 없는 잔인한 방법으로 외계인을 죽이는 지구인들. 거기에는 더 이상의 대화도 감정의 교류도 존재하지 않는데...",피트 오헨,테리 포터,피터 잭슨,,,
19880001,스타트렉 다크니스,Star Trek Into Darkness,"액션,SF,어드벤처",미국,J.J. 에이브럼스,http://cfile77.uf.daum.net/C110x160/023B524951A56FBC1867CE,"두려움이 낳은 자, 가장 강력한 적이 되어 돌아오다! 우주를 항해하던 거대함선 USS 엔터프라이즈호를 이끌고 귀환한 ‘커크’ 함장(크리스 파인). 하지만 누군가의 무자비한 공격으로 인해 전세계는 거대한 위기에 빠지고, 스타플릿 내부까지 공격 당하며 공포와 충격은 더욱 커져만 간다. 테러의 주인공이 다름아닌 스타플릿의 최정예 대원 ‘존 해리슨’(베네딕트 컴버배치)라는 사실이 밝혀지고, 그의 분노가 극대화될 수록 세상은 걷잡을 수 없는 혼란에 휩싸이기 시작한다. 내부의 적에 의해 절체절명의 위기를 맞게 된 엔터프라이즈호! 커크 함장과 대원들은 초토화된 전쟁터 한복판에서 인류의 미래가 걸린 선택의 기로에 놓이게 되는데...! 인류 최대의 위협, 그의 분노를 막아라!",크리스 파인,재커리 퀸토,조 샐다나,,,
19900037,남부군,North Korean Partisan In South Korea,"드라마,사극,전쟁",한국,정지영,http://cfile189.uf.daum.net/C110x160/136F1B10AD42C97A4F9265,"1950년, 이태(안성기)는 종군기자로 전주에 파견되어 '조선 노동당 유격대'에 합류하게 된다. 그러나 전세의 변화로 남부군의 부대가 개편되자 그는 빨치산에 합류해 전투활동을 기록해 나간다. 북으로부터 버림받고 남쪽 토벌대에게 쫓기면서 이태는 부상을 당하고 박민자(최진실)가 그를 간호한다. 두 사람은 사랑을 느끼지만 이태의 본대 복귀 명령으로 이별하게 된다. 한겨울에 악담봉 전투에 참여한 이태는 그곳에서 동족 간의 전쟁을 비난하던 시인 김영(최민수)을 만나게 된다. 또한 계속되는 전투로 남부군은 지리산으로 쫓겨 들어간다. 이태는 정식 당원이 되지만 휴전소식이 들리는 가운데 대원들의 분위기는 어수선하고 추위와 굶주림에 쫓기며 하루하루를 버틴다. 생존의 고통과 땅에 떨어진 사기로 발악 같은 전투가 벌어지는 가운데 이태는 대열에서 낙오하고 눈 속을 헤매다가 토벌군의 포로가 된다.",안성기,이혜영,최진실,,,
19900243,심연,The Abyss,"SF,드라마,스릴러,액션,어드벤처",미국,제임스 카메론,http://cfile189.uf.daum.net/C110x160/13448B10B089ADEBE234F3,"미핵잠수함 하나가 침몰하는 사고가 발생하고 미 해군은 석유시추선과 연합 수색전을 펼친다. 석유시추선의 책임자인 버드(에드 해리스)는 해군 카피 중위(마이클 빈)과 공동 탐사에 나서지만 사사건건 갈등이 빚어진다. 한편 버드는 해군에서 파견한 해양 장비 전문가이자 아내인 린지(매리 스튜어트 매스트란토니오)와도 다툼이 끊이질 않는다. 의견대립끝에 카피중위는 독단적인 수색에 나서고, 린지는 어느날 심연에서 신비한 생물체를 발견한다.",에드 해리스,메리 엘리자베스 마스트란토니오,마이클 빈,,,
19910012,산산이 부서진 이름이여,Beyond The Mountain,"드라마,멜로/로맨스",한국,정지영,http://cfile89.uf.daum.net/C110x160/1247F910AE4A6F2600B33F,"사미승(수행중인 남자 승려)인 침해(최진영)는 주지의 심부름 길에 비구니 묘흔(김금용)을 보고 마음을 뺏긴다. 어느 새벽에 월명대에서 만난 이들은 서로에 대한 그리움을 간직하게 된다. 감정을 다스리기 힘들자 묘흔은 스스로 손가락을 자르고, 침해는 노승 법연(장인한)의 질책에 괴로움이 쌓여간다. 산사의 대중에게 법연은 마지막 설법으로 묘흔을 불러 그녀의 나신을 보라고 요구한다. 침해는 무척 놀랄 뿐이고 법연은 '무불당'이라는 한 마디를 남기고 입적한다. 법연의 다비식날 스님이 법연의 그러한 파계는 침해에게 깨달음을 준 것이라고 한다. 침해는 속세로 내려갈 것을 결심하고 홀로 산사를 나와 속세를 한없이 바라본다. (임재원)",최진영,김금용,전숙,,,
19910242,가위손,Edward Scissorhands,드라마,미국,팀 버튼,http://cfile79.uf.daum.net/C110x160/263E9F4F5375DA5902723F,"다가설수록 아픈, 그래서 더 애틋한 ‘가위손’ 화장품 외판원 펙(다이안 웨스트)은 마을 언덕 외딴 성에서 상처투성이 창백한 얼굴과 날카로운 가위손 때문에 외롭게 살고 있는 에드워드(조니 뎁)를 만나 자신의 집으로 데려온다. 평범한 일상에 무료해하던 마을 사람들에게 큰 관심거리가 된 에드워드, 펙의 딸 킴(위노라 라이더)을 만나 첫눈에 사랑에 빠지지만 그녀의 남자친구 질투와 이웃들의 편견으로 도둑으로 몰리며 더 큰 오해에 빠지게 되는데... 5월, 에드워드가 당신을 초대합니다",조니 뎁,위노나 라이더,다이앤 위스트,,,
19910247,터미네이터 2,Terminator II,"액션,SF,스릴러","미국,프랑스",제임스 카메론,http://cfile76.uf.daum.net/C110x160/24696F5052772BF409183B,"인간과 기계의 대전쟁.. 그를 지키지 않으면 미래 또한 없다! 미래, 인류와 기계의 전쟁은 계속 되는 가운데 스카이넷은 인류 저항군 사령관 존 코너를 없애기 위해 액체 금속형 로봇인 T-1000(로버트 패트릭)을 과거의 어린 존 코너에게로 보낸다. 형태의 변신과 자가 치유까지 가능한 T-1000에 대항하고 존 코너를 지키기 위해 인류 저항군은 T-101(아놀드 슈왈제네거)을 과거로 급파한다. 미래의 인류 운명을 쥔 어린 존 코너. 그를 구해내지 않으면 인류의 미래는 없다. 반드시 제거해야 하는 스카이넷의 T-1000은 거침없이 존 코너 일행을 위협하며 숨가쁜 추격을 시작하는데...",아놀드 슈왈제네거,린다 해밀턴,,,,
19920051,하얀전쟁,White Badge,"전쟁,드라마,액션",한국,정지영,http://cfile89.uf.daum.net/C110x160/15497910B217CDAA733708,"월남전 참전 경험이 있는 소설가 한기주(안성기)는 월간지에 월남전 관련 소설을 연재하고 있다. 사실 그는 월남전 휴유증으로 아내와도 별거 상태일 정도로 전쟁에 대한 상처가 가시지 않았다. 그러던 어느 날, 그에게 월남전 전우인 변진수(이경영)가 찾아온다. 소대의 마지막 전투에서 살아남은 7명 중의 한 명인 그는 권총으로 자신을 죽여달라고 부탁한다. 아직도 심한 정신적 공황에 처해있는 변진수는 이제 그 자신의 전쟁을 끝내려는 것이다. 변진수로 인해 한기주는 서서히 월남전 악몽으로 되돌아간다. 혼마산 죽음의 계곡에 투입되어 함정, 부비트랩, 독화살 등 죽음의 그림자 숲을 헤매였던 기억들. 한기주는 그를 피하려하지만 어느날 함께 시내 도로의 시위현장에 있게 되고, 이를 과거 전쟁상황으로 착각한 변진수가 극단적인 반응을 보이기 시작한다. 한기주는 결국 권총을 발사한다.",안성기,이경영,심혜진,,,
19920185,엑스맨 2,X2,"SF,액션,범죄,판타지",미국,브라이언 싱어,http://cfile89.uf.daum.net/C110x160/156F1B10ABA43BFCD585B8,"모든 것이 강력해졌다! 이번엔 전면전이다!세계 최강의 엑스맨이 몰려온다!인간과의 관계가 더욱 더 나빠진 돌연변이들이 마침내 가공할만한 초능력의 힘으로 엄청난 공격을 하게 된다. 이 시기, 스트라이커 장군이 이끄는 안티 돌연변이 활동의 규모가 더욱 커지게 되고 이들은 사비에 박사의 저택을 공격한다. 이제 엑스맨은 사비에 박사는 물론, 돌연변이의 생존을 지켜야 하는 막중한 임무를 띄고 마침내 인간과의 전면전이 시작되는데…<엑스맨2의 캐릭터들>사비에 (프로페서 X) - 패트릭 스튜어트 분엑스맨의 창시자이자 중추적인 인물이며 초능력을 보유한 어린 학생들을 위한 학교를 운영하고 있다. 수년전의 어떤 사건으로 불구의 다리를 가지게 되었으며 움직이기 위해서는 특수 개발된 휠체어를 사용한다. 사비에는 인간과 돌연변이들이 평화적으로 공존할 수 있다는 굳은 신념을 가지고 있는 인물이다. 울버린 (로간) - 휴 잭맨 분초능력에 의해 순식간에 어떤 상처도 치료할 수 있으며 감각이 뛰어나게 발달되어 있다. 면도날처럼 날카로운 갈고리를 몸안에 가지고 있고 그의 뼈들은 지구상에서 가장 강력한 금속인 아다맨티움으로 되어있다. 그는 사비에 교수에 의해 엑스맨의 일원이 되기 전까지 캐나다 정부를 위해 일하던 전직 비밀 요원이었으며 엑스맨으로 탈바꿈하며 그의 내부에 잠재하던 동물적인 분노를 통제할 수 있게 된다. 스톰- 할리 베리 분기상을 조종할수 있는 초능력의 소유자로 그러한 능력에 따라 이름 지어졌다. 스톰은 아프리카의 고대 여사제의 후손으로 백발과 푸른 눈동자, 그리고 마술을 부릴수 있는 잠재력을 가지고 있다. 일대일 격투에서 뛰어난 능력을 발휘한다. 진 그레이 박사 - 팜케 젠슨 분텔레파시와 염력을 부릴 수 있 는 능력을 가지고 있으며 사비에 교수에 의해 그녀의 초능력을 발휘하고 통제할 수 있는 방법을 배우게 된다. 마블 걸이라는 이름으로도 불리워지며 사이클롭과 연인 사이인 것으로 알려져있다.",휴 잭맨,패트릭 스튜어트,이안 맥켈런,,,
